区分,席次,棋士番号,棋士名,段位,称号,生年月日,四段昇段日,五段昇段日,六段昇段日,七段昇段日,八段昇段日,九段昇段日,引退日,逝去日,四段昇段年齢,四段昇段所要日数
現役,1,307,藤井聡太,,竜王・名人,2002-07-19,2016-10-01,2018-02-01,2018-02-17,2018-05-18,2020-08-20,2021-07-03,,,14歳2ヶ月12日,5188
現役,2,324,伊藤匠,,叡王,2002-10-10,2020-10-01,2022-03-10,2023-04-20,2023-08-14,2025-06-14,,,,17歳11ヶ月21日,6566
現役,3,131,谷川浩司,,十七世名人,1962-04-06,1976-12-20,1979-04-01,1980-04-01,1981-04-01,1982-04-01,1984-04-01,,,14歳8ヶ月14日,5372
現役,4,175,羽生善治,九段,,1970-09-27,1985-12-18,1988-04-01,1989-10-01,1990-10-01,1993-04-01,1994-04-01,,,15歳2ヶ月21日,5561
現役,5,182,佐藤康光,九段,,1969-10-01,1987-03-25,1989-04-01,1992-03-25,1993-10-01,1996-04-01,1998-06-18,,,17歳5ヶ月24日,6384
現役,6,183,森内俊之,九段,,1970-10-10,1987-05-13,1990-06-02,1992-04-01,1994-04-01,1995-04-01,2002-05-17,,,16歳7ヶ月3日,6059
現役,7,235,渡辺明,九段,,1984-04-23,2000-04-01,2003-04-01,2004-10-01,2005-10-01,2005-11-17,2005-11-30,,,15歳11ヶ月9日,5822
現役,8,147,南芳一,九段,,1963-06-08,1981-01-19,1982-04-01,1983-04-01,1985-04-01,1986-04-01,1989-02-22,,,17歳7ヶ月11日,6435
現役,9,142,高橋道雄,九段,,1960-04-23,1980-06-04,1982-04-01,1984-04-01,1986-11-17,1989-04-01,1990-04-01,,,20歳1ヶ月12日,7347
現役,10,194,丸山忠久,九段,,1970-09-05,1990-04-01,1992-04-01,1995-04-01,1997-04-01,1998-04-01,2000-06-28,,,19歳6ヶ月27日,7148
現役,11,198,藤井猛,九段,,1970-09-29,1991-04-01,1994-04-01,1995-04-01,1998-10-01,1999-10-01,2000-10-01,,,20歳6ヶ月3日,7489
現役,12,148,塚田泰明,九段,,1964-11-16,1981-03-05,1983-04-01,1985-04-01,1987-04-01,1988-04-01,2000-12-15,,,16歳3ヶ月17日,5953
現役,13,195,郷田真隆,九段,,1971-03-17,1990-04-01,1992-10-01,1995-11-20,1998-04-01,1999-04-01,2001-08-06,,,19歳0ヶ月15日,6955
現役,14,161,森下卓,九段,,1966-07-10,1983-09-21,1987-01-14,1989-10-03,1992-07-10,1994-04-01,2003-12-12,,,17歳2ヶ月11日,6282
現役,15,189,屋敷伸之,九段,,1972-01-18,1988-10-01,1990-04-01,1991-04-01,1996-03-08,2002-05-13,2004-04-01,,,16歳8ヶ月13日,6101
現役,16,143,中村修,九段,,1962-11-07,1980-07-02,1982-04-01,1983-04-01,1986-04-01,1993-10-15,2008-01-23,,,17歳7ヶ月25日,6447
現役,17,146,島朗,九段,,1963-02-19,1980-09-18,1984-05-10,1986-04-01,1989-04-01,1994-04-01,2008-04-17,,,17歳6ヶ月30日,6421
現役,18,201,深浦康市,九段,,1972-02-14,1991-10-01,1994-08-27,1997-07-22,2001-06-28,2004-04-01,2008-09-26,,,19歳7ヶ月17日,7169
現役,19,207,久保利明,九段,,1975-08-27,1993-04-01,1995-04-01,1998-11-25,2001-04-01,2003-04-01,2010-03-30,,,17歳7ヶ月5日,6427
現役,20,157,井上慶太,九段,,1964-01-17,1983-02-04,1987-03-27,1991-07-12,1996-04-01,1997-04-01,2011-03-03,,,19歳0ヶ月18日,6958
現役,21,204,三浦弘行,九段,,1974-02-13,1992-10-01,1995-04-01,1996-10-01,2000-04-01,2001-04-01,2013-08-16,,,18歳7ヶ月18日,6805
現役,22,185,先崎学,九段,,1970-06-22,1987-10-19,1990-10-08,1994-06-08,1999-04-01,2000-04-01,2014-04-01,,,17歳3ヶ月27日,6328
現役,23,263,佐藤天彦,九段,,1988-01-16,2006-10-01,2009-04-30,2011-04-21,2012-04-19,2015-01-08,2016-05-31,,,18歳8ヶ月15日,6833
現役,24,213,鈴木大介,九段,,1974-07-11,1994-10-01,1997-04-01,1999-10-01,2002-04-01,2003-04-01,2017-03-01,,,20歳2ヶ月20日,7387
現役,25,222,木村一基,九段,,1973-06-23,1997-04-01,1999-04-01,2001-12-17,2003-04-01,2007-04-01,2017-06-26,,,23歳9ヶ月9日,8683
現役,26,264,豊島将之,九段,,1990-04-30,2007-04-01,2009-05-08,2010-11-29,2012-04-19,2017-03-09,2019-05-17,,,16歳11ヶ月2日,6180
現役,27,208,行方尚史,九段,,1973-12-30,1993-10-01,1995-10-01,1999-06-21,2004-04-01,2007-04-01,2019-11-14,,,19歳9ヶ月1日,7215
現役,28,171,阿部隆,九段,,1967-08-25,1985-06-10,1989-08-11,1992-11-16,1997-06-06,2005-02-03,2020-07-15,,,17歳9ヶ月16日,6499
現役,29,276,永瀬拓矢,九段,,1992-09-05,2009-10-01,2012-04-24,2013-06-17,2017-11-22,2019-10-01,2020-10-14,,,17歳0ヶ月26日,6235
現役,30,138,脇謙二,九段,,1960-08-10,1979-07-16,1983-04-01,1984-04-01,1990-04-01,2000-11-16,2021-04-01,,,18歳11ヶ月6日,6914
現役,31,255,広瀬章人,九段,,1987-01-18,2005-04-01,2007-04-01,2010-06-11,2010-09-02,2014-02-13,2023-11-16,,,18歳2ヶ月14日,6648
現役,32,168,富岡英作,九段,,1964-05-19,1984-12-18,1986-04-01,1988-04-01,1992-04-01,2002-12-20,2024-04-01,,,20歳6ヶ月29日,7518
現役,33,227,山崎隆之,九段,,1981-02-14,1998-04-01,2001-08-28,2004-11-18,2006-08-10,2013-07-27,2025-02-06,,,17歳1ヶ月18日,6255
現役,34,184,中川大輔,八段,,1968-07-13,1987-10-19,1990-11-27,1994-06-28,2000-10-20,2009-12-11,,,,19歳3ヶ月6日,7037
現役,35,164,日浦市郎,八段,,1966-03-04,1984-04-04,1988-06-22,1993-01-27,1999-10-05,2010-04-16,,,,18歳1ヶ月0日,6606
現役,36,162,浦野真彦,八段,,1964-03-14,1983-10-19,1987-04-01,1989-04-01,1996-04-01,2012-09-14,,,,19歳7ヶ月5日,7158
現役,37,211,北浜健介,八段,,1975-12-28,1994-04-01,1996-04-01,1998-04-01,2003-04-01,2013-03-07,,,,18歳3ヶ月4日,6669
現役,38,144,泉正樹,八段,,1961-01-11,1980-08-20,1985-04-26,1989-06-23,1997-10-09,2013-07-04,,,,19歳7ヶ月9日,7161
現役,39,233,阿久津主税,八段,,1982-06-24,1999-10-01,2004-07-02,2007-08-03,2009-04-01,2014-02-13,,,,17歳3ヶ月7日,6308
現役,40,149,神谷広志,八段,,1961-04-21,1981-03-18,1984-04-01,1989-03-17,1997-12-12,2014-05-01,,,,19歳10ヶ月25日,7271
現役,41,260,糸谷哲郎,八段,,1988-10-05,2006-04-01,2008-05-01,2012-01-12,2014-09-08,2014-12-04,,,,17歳5ヶ月27日,6387
現役,42,231,松尾歩,八段,,1980-03-29,1999-04-01,2002-04-01,2006-04-21,2007-09-27,2015-07-02,,,,19歳0ヶ月3日,6942
現役,43,269,稲葉陽,八段,,1988-08-08,2008-04-01,2011-03-08,2012-05-01,2013-08-16,2016-02-18,,,,19歳7ヶ月24日,7176
現役,44,179,神崎健二,八段,,1963-12-08,1986-11-05,1990-04-24,1994-05-24,2001-05-29,2016-08-15,,,,22歳10ヶ月28日,8368
現役,45,202,真田圭一,八段,,1972-10-06,1992-04-01,1994-04-01,1997-10-01,2005-03-01,2016-10-25,,,,19歳5ヶ月26日,7117
現役,46,221,野月浩貴,八段,,1973-07-04,1996-10-01,2000-10-10,2004-04-01,2005-04-01,2017-01-20,,,,23歳2ヶ月27日,8490
現役,47,193,畠山成幸,八段,,1969-06-03,1989-10-01,1993-04-01,1996-04-01,2003-05-19,2017-03-08,,,,20歳3ヶ月28日,7425
現役,48,176,中田功,八段,,1967-07-27,1986-04-30,1990-03-06,1998-08-07,2005-10-11,2019-01-21,,,,18歳9ヶ月3日,6852
現役,49,197,杉本昌隆,八段,,1968-11-13,1990-10-01,1995-12-06,2000-07-11,2006-02-10,2019-02-22,,,,21歳10ヶ月18日,7992
現役,50,192,畠山鎮,八段,,1969-06-03,1989-10-01,1993-12-24,1999-04-27,2006-04-01,2019-09-12,,,,20歳3ヶ月28日,7425
現役,51,278,菅井竜也,八段,,1992-04-17,2010-04-01,2011-08-21,2015-03-10,2015-11-05,2020-01-23,,,,17歳11ヶ月15日,6558
現役,52,286,斎藤慎太郎,八段,,1993-04-21,2012-04-01,2013-03-05,2015-04-23,2017-03-08,2020-02-13,,,,18歳11ヶ月11日,6920
現役,53,196,佐藤秀司,八段,,1967-06-08,1990-10-01,1994-10-11,1999-07-09,2007-12-10,2020-07-31,,,,23歳3ヶ月23日,8516
現役,54,236,飯島栄治,八段,,1979-09-16,2000-04-01,2004-09-07,2008-09-11,2010-10-22,2021-02-02,,,,20歳6ヶ月16日,7503
現役,55,188,小倉久史,八段,,1968-05-15,1988-10-01,1992-10-28,1998-05-20,2005-10-24,2022-04-01,,,,20歳4ヶ月16日,7444
現役,56,218,堀口一史座,八段,,1975-02-28,1996-04-01,1999-10-14,2002-10-01,2004-04-01,2022-12-15,,,,21歳1ヶ月4日,7703
現役,57,261,中村太地,八段,,1988-06-01,2006-04-01,2011-01-27,2012-04-26,2017-10-11,2023-03-09,,,,17歳10ヶ月0日,6513
現役,58,280,佐々木勇気,八段,,1994-08-05,2010-10-01,2014-03-11,2017-07-11,2018-11-16,2023-03-09,,,,16歳1ヶ月26日,5901
現役,59,203,飯塚祐紀,八段,,1969-04-02,1992-04-01,1996-08-05,2001-08-13,2009-10-27,2023-06-07,,,,22歳11ヶ月30日,8400
現役,60,249,村山慈明,八段,,1984-05-09,2003-10-01,2007-12-14,2012-05-17,2014-03-13,2023-06-21,,,,19歳4ヶ月22日,7084
現役,61,223,小林裕士,八段,,1976-09-29,1997-04-01,2001-04-01,2006-04-05,2011-10-12,2023-12-12,,,,20歳6ヶ月3日,7489
現役,62,291,千田翔太,八段,,1994-04-10,2013-04-01,2015-02-12,2016-12-16,2019-03-13,2024-02-08,,,,18歳11ヶ月22日,6931
現役,63,297,増田康宏,八段,,1997-11-04,2014-10-01,2018-01-12,2018-05-22,2023-02-08,2024-03-07,,,,16歳10ヶ月27日,6175
現役,64,303,近藤誠也,八段,,1996-07-25,2015-10-01,2017-03-02,2019-03-05,2020-03-11,2025-01-16,,,,19歳2ヶ月6日,7007
現役,65,287,八代弥,八段,,1994-03-03,2012-04-01,2015-05-12,2017-02-11,2019-04-23,2025-07-10,,,,18歳0ヶ月29日,6604
現役,66,172,所司和晴,七段,,1961-10-23,1985-06-27,1987-04-01,1992-10-29,2005-04-27,,,,,23歳8ヶ月4日,8648
現役,67,200,豊川孝弘,七段,,1967-02-20,1991-10-01,1996-02-27,2002-05-22,2009-03-19,,,,,24歳7ヶ月11日,8989
現役,68,199,平藤眞吾,七段,,1963-10-15,1991-04-01,1996-03-01,2002-11-05,2011-10-25,,,,,27歳5ヶ月17日,10030
現役,69,217,田村康介,七段,,1976-03-16,1995-10-01,2000-09-08,2005-06-08,2013-03-04,,,,,19歳6ヶ月15日,7138
現役,70,190,藤原直哉,七段,,1965-05-27,1989-04-01,1994-11-10,2001-07-24,2013-06-19,,,,,23歳10ヶ月5日,8710
現役,71,214,北島忠雄,七段,,1966-01-04,1995-04-01,1999-06-03,2003-10-01,2014-08-14,,,,,29歳2ヶ月28日,10679
現役,72,212,矢倉規広,七段,,1974-09-27,1994-10-01,1999-06-11,2005-07-28,2015-07-01,,,,,20歳0ヶ月4日,7309
現役,73,224,佐藤紳哉,七段,,1977-08-29,1997-10-01,2003-01-24,2007-08-28,2015-12-17,,,,,20歳1ヶ月2日,7338
現役,74,277,阿部健治郎,七段,,1989-02-25,2009-10-01,2011-11-01,2015-11-05,2016-04-22,,,,,20歳7ヶ月6日,7523
現役,75,210,窪田義行,七段,,1972-05-18,1994-04-01,1998-08-01,2007-01-22,2016-06-01,,,,,21歳10ヶ月14日,7988
現役,76,262,戸辺誠,七段,,1986-08-05,2006-10-01,2009-03-10,2010-02-09,2016-06-01,,,,,20歳1ヶ月26日,7362
現役,77,275,大石直嗣,七段,,1989-09-16,2009-04-01,2013-04-22,2013-05-15,2017-11-01,,,,,19歳6ヶ月16日,7137
現役,78,237,千葉幸生,七段,,1979-02-11,2000-10-01,2004-04-01,2010-09-16,2018-02-06,,,,,21歳7ヶ月20日,7903
現役,79,209,岡崎洋,七段,,1967-05-04,1993-10-01,1998-04-01,2004-06-15,2018-02-19,,,,,26歳4ヶ月27日,9647
現役,80,241,宮田敦史,七段,,1981-06-05,2001-10-01,2004-04-01,2010-09-03,2018-05-25,,,,,20歳3ヶ月26日,7423
現役,81,284,髙見泰地,七段,,1993-07-12,2011-10-01,2014-05-23,2018-01-29,2018-05-26,,,,,18歳2ヶ月19日,6655
現役,82,251,片上大輔,七段,,1981-08-28,2004-04-01,2006-10-10,2009-05-12,2018-07-18,,,,,22歳7ヶ月4日,8252
現役,83,248,西尾明,七段,,1979-09-30,2003-04-01,2007-09-18,2011-04-21,2019-02-13,,,,,23歳6ヶ月2日,8584
現役,84,294,三枚堂達也,七段,,1993-07-14,2013-10-01,2017-07-27,2017-11-24,2019-09-04,,,,,20歳2ヶ月17日,7384
現役,85,246,横山泰明,七段,,1980-10-16,2002-10-01,2007-10-30,2012-12-07,2019-09-11,,,,,21歳11ヶ月15日,8020
現役,86,253,村中秀史,七段,,1981-03-12,2004-10-01,2009-09-15,2009-10-16,2019-10-04,,,,,23歳6ヶ月19日,8604
現役,87,250,佐藤和俊,七段,,1978-06-12,2003-10-01,2007-11-02,2014-03-24,2019-10-30,,,,,25歳3ヶ月19日,9242
現役,88,242,村田智弘,七段,,1981-04-02,2001-10-01,2007-06-19,2008-10-23,2019-12-18,,,,,20歳5ヶ月29日,7487
現役,89,240,佐々木慎,七段,,1980-01-21,2001-04-01,2006-04-19,2012-02-22,2020-03-11,,,,,21歳2ヶ月11日,7741
現役,90,215,勝又清和,七段,,1969-03-21,1995-04-01,1999-04-01,2007-03-13,2020-04-01,,,,,26歳0ヶ月11日,9507
現役,91,257,髙﨑一生,七段,,1987-02-12,2005-10-01,2010-02-02,2012-05-15,2020-09-18,,,,,18歳7ヶ月19日,6806
現役,92,274,澤田真吾,七段,,1991-11-21,2009-04-01,2013-02-12,2014-11-06,2020-10-14,,,,,17歳4ヶ月11日,6341
現役,93,234,安用寺孝功,七段,,1974-08-30,1999-10-01,2005-11-15,2009-02-10,2021-01-26,,,,,25歳1ヶ月1日,9163
現役,94,304,都成竜馬,七段,,1990-01-17,2016-04-01,2018-03-15,2019-11-13,2021-03-25,,,,,26歳2ヶ月15日,9571
現役,95,301,梶浦宏孝,七段,,1995-07-06,2015-04-01,2019-07-25,2020-06-04,2021-05-06,,,,,19歳8ヶ月26日,7209
現役,96,220,近藤正和,七段,,1971-05-31,1996-10-01,2001-09-12,2007-07-19,2021-05-20,,,,,25歳4ヶ月0日,9255
現役,97,268,及川拓馬,七段,,1987-05-06,2007-10-01,2013-01-08,2014-10-23,2021-12-20,,,,,20歳4ヶ月25日,7453
現役,98,283,阿部光瑠,七段,,1994-10-25,2011-04-01,2014-11-04,2015-11-05,2022-01-28,,,,,16歳5ヶ月7日,6002
現役,99,216,松本佳介,七段,,1971-12-17,1995-10-01,2001-01-26,2008-07-01,2022-04-01,,,,,23歳9ヶ月14日,8689
現役,100,306,佐々木大地,七段,,1995-05-30,2016-04-01,2019-02-20,2022-02-16,2022-04-28,,,,,20歳10ヶ月2日,7612
現役,101,308,大橋貴洸,七段,,1992-09-22,2016-10-01,2019-07-31,2019-10-23,2023-02-08,,,,,24歳0ヶ月9日,8775
現役,102,293,石井健太郎,七段,,1992-04-13,2013-10-01,2017-10-30,2020-06-05,2024-03-06,,,,,21歳5ヶ月18日,7841
現役,103,281,船江恒平,七段,,1987-04-27,2010-10-01,2012-03-06,2016-12-28,2024-03-12,,,,,23歳5ヶ月4日,8558
現役,104,319,渡辺和史,七段,,1994-10-06,2019-10-01,2022-03-10,2023-03-07,2024-05-09,,,,,24歳11ヶ月25日,9126
現役,105,226,髙野秀行,七段,,1972-06-15,1998-04-01,2003-10-21,2011-02-22,2024-10-03,,,,,25歳9ヶ月17日,9421
現役,106,322,服部慎一郎,七段,,1999-08-02,2020-04-01,2022-09-30,2023-04-20,2025-02-05,,,,,20歳7ヶ月30日,7548
現役,107,300,青嶋未来,七段,,1995-02-27,2015-04-01,2016-03-03,2020-06-16,2025-02-05,,,,,20歳1ヶ月5日,7338
現役,108,243,大平武洋,六段,,1977-05-11,2002-04-01,2006-09-19,2016-01-08,,,,,,24歳10ヶ月21日,9091
現役,109,265,金井恒太,六段,,1986-05-25,2007-04-01,2010-03-09,2016-03-09,,,,,,20歳10ヶ月7日,7616
現役,110,229,山本真也,六段,,1971-10-24,1998-10-01,2004-11-05,2016-04-01,,,,,,26歳11ヶ月7日,9839
現役,111,252,中村亮介,六段,,1985-09-26,2004-04-01,2008-10-31,2016-09-01,,,,,,18歳6ヶ月6日,6762
現役,112,272,西川和宏,六段,,1986-04-02,2008-10-01,2014-08-21,2016-11-10,,,,,,22歳5ヶ月29日,8218
現役,113,267,村田顕弘,六段,,1986-07-14,2007-10-01,2012-03-06,2017-11-07,,,,,,21歳2ヶ月17日,7749
現役,114,258,遠山雄亮,六段,,1979-12-10,2005-10-01,2011-02-22,2018-02-23,,,,,,25歳9ヶ月21日,9427
現役,115,254,阪口悟,六段,,1978-08-16,2004-10-01,2009-12-08,2018-07-19,,,,,,26歳1ヶ月15日,9543
現役,116,259,瀬川晶司,六段,,1970-03-23,2005-11-06,2012-08-13,2018-11-08,,,,,,35歳7ヶ月14日,13012
現役,117,256,長岡裕也,六段,,1985-08-18,2005-04-01,2010-11-02,2020-12-10,,,,,,19歳7ヶ月14日,7166
現役,118,279,牧野光則,六段,,1988-04-16,2010-04-01,2015-02-25,2021-02-10,,,,,,21歳11ヶ月16日,8020
現役,119,298,黒沢怜生,六段,,1992-03-07,2014-10-01,2016-05-13,2021-03-18,,,,,,22歳6ヶ月24日,8243
現役,120,266,伊藤真吾,六段,,1982-01-04,2007-04-01,2013-10-25,2021-05-13,,,,,,25歳2ヶ月28日,9218
現役,121,302,髙野智史,六段,,1993-10-27,2015-10-01,2019-12-02,2021-10-01,,,,,,21歳11ヶ月4日,8009
現役,122,290,渡辺大夢,六段,,1988-07-29,2012-10-01,2016-10-27,2021-10-21,,,,,,24歳2ヶ月2日,8830
現役,123,273,渡辺正和,六段,,1986-01-23,2008-10-01,2012-10-22,2022-03-16,,,,,,22歳8ヶ月8日,8287
現役,124,317,出口若武,六段,,1995-04-28,2019-04-01,2021-03-05,2022-04-02,,,,,,23歳11ヶ月4日,8739
現役,125,315,本田奎,六段,,1997-07-05,2018-10-01,2019-12-27,2023-05-01,,,,,,21歳2ヶ月26日,7758
現役,126,270,田中悠一,六段,,1985-03-14,2008-04-01,2014-10-23,2023-10-12,,,,,,23歳0ヶ月18日,8419
現役,127,326,古賀悠聖,六段,,2001-01-01,2020-10-01,2023-03-14,2024-03-05,,,,,,19歳9ヶ月0日,7213
現役,128,314,池永天志,六段,,1993-04-20,2018-04-01,2021-04-03,2024-04-17,,,,,,24歳11ヶ月12日,9112
現役,129,247,島本亮,六段,,1980-05-05,2003-04-01,2011-07-12,2024-07-10,,,,,,22歳10ヶ月27日,8366
現役,130,289,石田直裕,六段,,1988-12-05,2012-10-01,2017-08-15,2024-07-18,,,,,,23歳9ヶ月26日,8701
現役,131,271,佐藤慎一,六段,,1982-08-16,2008-10-01,2015-01-16,2024-07-23,,,,,,26歳1ヶ月15日,9543
現役,132,282,門倉啓太,六段,,1987-06-03,2011-04-01,2016-11-17,2024-09-25,,,,,,23歳9ヶ月29日,8703
現役,133,311,斎藤明日斗,六段,,1998-07-17,2017-10-01,2022-01-14,2025-01-14,,,,,,19歳2ヶ月14日,7016
現役,134,333,藤本渚,六段,,2005-07-18,2022-10-01,2024-03-12,2025-03-04,,,,,,17歳2ヶ月13日,6284
現役,135,296,宮本広志,六段,,1986-01-27,2014-04-01,2016-03-03,2025-03-04,,,,,,28歳2ヶ月5日,10291
現役,136,310,杉本和陽,六段,,1991-09-01,2017-04-01,2021-07-08,2025-04-25,,,,,,25歳7ヶ月0日,9344
現役,137,309,西田拓也,六段,,1991-08-25,2017-04-01,2021-02-19,2025-06-17,,,,,,25歳7ヶ月7日,9351
現役,138,285,藤森哲也,五段,,1987-05-09,2011-10-01,2017-03-23,,,,,,,24歳4ヶ月22日,8911
現役,139,292,竹内雄悟,五段,,1987-12-17,2013-04-01,2018-09-13,,,,,,,25歳3ヶ月15日,9237
現役,140,288,上村亘,五段,,1986-12-10,2012-10-01,2019-10-10,,,,,,,25歳9ヶ月21日,9427
現役,141,312,古森悠太,五段,,1995-08-20,2017-10-01,2020-03-05,,,,,,,22歳1ヶ月11日,8078
現役,142,299,今泉健司,五段,,1973-07-03,2015-04-01,2020-06-18,,,,,,,41歳8ヶ月29日,15247
現役,143,295,星野良生,五段,,1988-08-10,2014-04-01,2020-08-13,,,,,,,25歳7ヶ月22日,9365
現役,144,318,黒田尭之,五段,,1996-09-26,2019-04-01,2021-02-04,,,,,,,22歳6ヶ月6日,8222
現役,145,305,井出隼平,五段,,1991-05-03,2016-04-01,2021-02-25,,,,,,,24歳10ヶ月29日,9100
現役,146,320,石川優太,五段,,1994-11-11,2019-10-01,2022-09-20,,,,,,,24歳10ヶ月20日,9090
現役,147,321,折田翔吾,五段,,1989-10-28,2020-04-01,2022-10-06,,,,,,,30歳5ヶ月4日,11113
現役,148,313,長谷部浩平,五段,,1994-04-15,2018-04-01,2022-10-13,,,,,,,23歳11ヶ月17日,8752
現役,149,316,山本博志,五段,,1996-08-13,2018-10-01,2023-04-17,,,,,,,22歳1ヶ月18日,8084
現役,150,325,冨田誠也,五段,,1996-02-13,2020-10-01,2024-03-12,,,,,,,24歳7ヶ月18日,8997
現役,151,328,高田明浩,五段,,2002-06-20,2021-04-01,2024-03-12,,,,,,,18歳9ヶ月12日,6860
現役,152,330,狩山幹生,五段,,2001-11-12,2021-10-01,2024-11-05,,,,,,,19歳10ヶ月19日,7263
現役,153,327,井田明宏,五段,,1996-12-06,2021-04-01,2024-11-06,,,,,,,24歳3ヶ月26日,8882
現役,154,331,岡部怜央,五段,,1999-04-08,2022-04-01,2025-03-11,,,,,,,22歳11ヶ月24日,8394
現役,155,340,上野裕寿,五段,,2003-05-05,2023-10-01,2025-03-11,,,,,,,20歳4ヶ月26日,7454
現役,156,323,谷合廣紀,五段,,1994-01-06,2020-04-01,2025-07-10,,,,,,,26歳2ヶ月26日,9582
現役,157,329,横山友紀,四段,,2000-01-26,2021-10-01,,,,,,,,21歳8ヶ月5日,7919
現役,158,332,徳田拳士,四段,,1997-12-09,2022-04-01,,,,,,,,24歳3ヶ月23日,8879
現役,159,334,齊藤裕也,四段,,1997-05-29,2022-10-01,,,,,,,,25歳4ヶ月2日,9256
現役,160,335,小山怜央,四段,,1993-07-02,2023-04-01,,,,,,,,29歳8ヶ月30日,10865
現役,161,336,小山直希,四段,,1999-10-07,2023-04-01,,,,,,,,23歳5ヶ月25日,8577
